id,date,description,amount,type,category,mode,bank,product_amount,deducted_amount,extra_charge,charge_reason,fraud,anomaly,risk_score,confidence,user_id,created_at
3190,2026-01-27,-- Laptop Purchase,100300.0,expense,others,Unknown,Unknown,85000.0,100300.0,15300.0,Bank or Platform Fee,1,1,60.0,0.5,4,2026-03-08 06:25:49
3664,2026-06-26,-- Monthly Salary Income n,18623.0,income,salary,Unknown,Unknown,18623.0,18623.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-11 07:25:28
3420,2026-05-26,-- Bonus Credit Income n,45336.0,income,others,Unknown,Unknown,45336.0,45336.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:50
3342,2026-02-26,-- Mobile Recharge Expense n,18783.0,expense,others,Unknown,Unknown,18783.0,18783.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:36
3320,2026-01-26,-- Dining at Restaurant Expense n,1909.0,expense,food,Unknown,Unknown,1909.0,1909.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:33
3370,2026-03-25,-- Medical Expenses Expense n,20948.0,expense,others,Unknown,Unknown,20948.0,20948.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:41
3501,2026-01-25,Insurance Premium,5000.0,expense,others,Unknown,Unknown,5000.0,5000.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-11 06:55:15
3189,2026-01-25,-- Petrol Pump Fuel,3060.0,expense,others,Unknown,Unknown,3000.0,3060.0,60.0,Bank or Platform Fee,0,0,0.0,0.5,4,2026-03-08 06:25:49
3305,2026-01-25,-- Internet Bill  expense,1500.0,income,utilities,Unknown,Unknown,1500.0,1500.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:04:51
3141,2026-01-25,-- Interest Credit Income,5000.0,income,others,Unknown,Unknown,5000.0,5000.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-07 06:34:58
3444,2026-06-24,-- Internet Bill Expense n,22559.0,expense,utilities,Unknown,Unknown,22559.0,22559.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:54
3419,2026-05-24,-- Insurance Premium Expense n,17795.0,expense,others,Unknown,Unknown,17795.0,17795.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:50
3393,2026-04-24,-- Bonus Credit Income n,46834.0,income,others,Unknown,Unknown,46834.0,46834.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:45
3188,2026-01-24,-- Monthly Salary Credited  HDFC,75000.0,income,salary,Unknown,HDFC,75000.0,75000.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 06:25:49
3319,2026-01-24,-- Interest Credit Income n,41631.0,income,others,Unknown,Unknown,41631.0,41631.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:33
3418,2026-05-23,-- House Rent Expense n,1008.0,expense,rent,Unknown,Unknown,1008.0,1008.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:50
3356,2026-03-23,-- Electricity Bill Expense n,20005.0,expense,utilities,Unknown,Unknown,20005.0,20005.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:39
3369,2026-03-23,-- Car EMI Expense n,11177.0,expense,others,Unknown,Unknown,11177.0,11177.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:41
3341,2026-02-23,-- Bonus Credit Income n,25140.0,income,others,Unknown,Unknown,25140.0,25140.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:36
3443,2026-06-22,-- Medical Expenses Expense n,13705.0,expense,others,Unknown,Unknown,13705.0,13705.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:54
3483,3921-01-22,MANPOKARUR VYS a,1163600.0,expense,others,Unknown,Unknown,1163600.0,1163600.0,0.0,No Extra Charges,0,1,0.0,0.5,4,2026-03-10 09:20:58
3187,2026-01-22,-- Mutual Fund Investment,10150.0,expense,others,Unknown,Unknown,10000.0,10150.0,150.0,Bank or Platform Fee,0,0,0.0,0.5,4,2026-03-08 06:25:49
3140,2026-01-22,-- Medical Expense Expense,7500.0,expense,others,Unknown,Unknown,7500.0,7500.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-07 06:34:57
3318,2026-01-22,-- Interest Credit Income n,37574.0,income,others,Unknown,Unknown,37574.0,37574.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:33
3304,2026-01-22,-- Fuel  expense,3500.0,expense,others,Unknown,Unknown,3500.0,3500.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:04:51
3417,2026-05-21,-- Monthly Salary Income n,64783.0,income,salary,Unknown,Unknown,64783.0,64783.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:49
3392,2026-04-21,-- Freelance Project Income n,21661.0,income,others,Unknown,Unknown,21661.0,21661.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:44
3368,2026-03-21,-- Insurance Premium Expense n,886.0,expense,others,Unknown,Unknown,886.0,886.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:41
3355,2026-03-21,-- Bonus Credit Income n,30961.0,income,others,Unknown,Unknown,30961.0,30961.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:39
3340,2026-02-21,-- Fuel Expense n,4098.0,expense,others,Unknown,Unknown,4098.0,4098.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:35
3442,2026-06-20,-- Fuel Expense n,20210.0,expense,others,Unknown,Unknown,20210.0,20210.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:54
3500,2026-01-20,Electricity Bill,2800.0,expense,utilities,Unknown,Unknown,2800.0,2800.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-11 06:55:15
3186,2026-01-20,-- Flight Ticket Booking,6000.0,income,travel,Unknown,Unknown,6000.0,6000.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 06:25:49
3391,2026-04-19,-- Car EMI Expense n,6254.0,expense,others,Unknown,Unknown,6254.0,6254.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:44
3317,2026-01-19,-- Bonus Credit Income n,14162.0,income,others,Unknown,Unknown,14162.0,14162.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:32
3416,2026-05-18,-- Mobile Recharge Expense n,11247.0,expense,others,Unknown,Unknown,11247.0,11247.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:49
3390,2026-04-18,-- Freelance Project Income n,50351.0,income,others,Unknown,Unknown,50351.0,50351.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:44
3367,2026-03-18,-- Freelance Project Income n,51092.0,income,others,Unknown,Unknown,51092.0,51092.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:41
3354,2026-03-18,-- Electricity Bill Expense n,5876.0,expense,utilities,Unknown,Unknown,5876.0,5876.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:38
3339,2026-02-18,-- Bonus Credit Income n,5346.0,income,others,Unknown,Unknown,5346.0,5346.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:35
3303,2026-01-18,-- Medical Expense  expense,5000.0,expense,others,Unknown,Unknown,5000.0,5000.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:04:50
3139,2026-01-18,-- Consulting Payment Income,28000.0,income,others,Unknown,Unknown,28000.0,28000.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-07 06:34:57
3316,2026-01-18,-- Car EMI Expense n,5910.0,expense,others,Unknown,Unknown,5910.0,5910.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:32
3185,2026-01-18,-- Amazon Shopping,3075.0,expense,shopping,Unknown,Unknown,3000.0,3075.0,75.0,Bank or Platform Fee,0,0,0.0,0.5,4,2026-03-08 06:25:49
3441,2026-06-17,-- Monthly Salary Income n,50075.0,income,salary,Unknown,Unknown,50075.0,50075.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:54
3431,2026-06-17,-- Fuel Expense n,23031.0,expense,others,Unknown,Unknown,23031.0,23031.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:52
3353,2026-03-17,-- Electricity Bill Expense n,6432.0,expense,utilities,Unknown,Unknown,6432.0,6432.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:38
3406,2026-05-16,-- Electricity Bill Expense n,4818.0,expense,utilities,Unknown,Unknown,4818.0,4818.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:48
3366,2026-03-16,-- House Rent Expense n,11148.0,expense,rent,Unknown,Unknown,11148.0,11148.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:40
3331,2026-02-16,-- Interest Credit Income n,60339.0,income,others,Unknown,Unknown,60339.0,60339.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:34
3315,2026-01-16,-- Internet Bill Expense n,2705.0,expense,utilities,Unknown,Unknown,2705.0,2705.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:32
3456,2026-07-15,-- Monthly Salary Income n,51107.0,income,salary,Unknown,Unknown,51107.0,51107.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:57
3440,2026-06-15,-- Grocery Shopping Expense n,24652.0,expense,others,Unknown,Unknown,24652.0,24652.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:54
3415,2026-05-15,-- Fuel Expense n,9766.0,expense,others,Unknown,Unknown,9766.0,9766.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:49
3405,2026-05-15,-- Dining at Restaurant Expense n,771.0,expense,food,Unknown,Unknown,771.0,771.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:48
3381,2026-04-15,-- Mobile Recharge Expense n,6802.0,expense,others,Unknown,Unknown,6802.0,6802.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:43
3389,2026-04-15,-- Bonus Credit Income n,13921.0,income,others,Unknown,Unknown,13921.0,13921.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:44
3352,2026-03-15,-- Medical Expenses Expense n,12253.0,expense,others,Unknown,Unknown,12253.0,12253.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:38
3338,2026-02-15,-- Freelance Project Income n,57260.0,income,others,Unknown,Unknown,57260.0,57260.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:35
3499,2026-01-15,Freelance Project Income,25000.0,income,others,Unknown,Unknown,25000.0,25000.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-11 06:55:15
3302,2026-01-15,-- Shopping  expense,7000.0,expense,others,Unknown,Unknown,7000.0,7000.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:04:50
3184,2026-01-15,-- Restaurant Dinner,1300.0,expense,food,Unknown,Unknown,1200.0,1300.0,100.0,Bank or Platform Fee,0,0,20.0,0.5,4,2026-03-08 06:25:49
3138,2026-01-15,-- Fuel Expense Expense,4000.0,expense,others,Unknown,Unknown,4000.0,4000.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-07 06:34:57
3455,2026-07-14,-- Car EMI Expense n,12536.0,expense,others,Unknown,Unknown,12536.0,12536.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:57
3430,2026-06-14,-- Monthly Salary Income n,9403.0,income,salary,Unknown,Unknown,9403.0,9403.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:52
3404,2026-05-14,-- Grocery Shopping Expense n,13058.0,expense,others,Unknown,Unknown,13058.0,13058.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:47
3414,2026-05-14,-- Grocery Shopping Expense n,2025.0,expense,others,Unknown,Unknown,2025.0,2025.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:49
3380,2026-04-14,-- Freelance Project Income n,35012.0,income,others,Unknown,Unknown,35012.0,35012.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:43
3388,2026-04-14,-- Freelance Project Income n,31181.0,income,others,Unknown,Unknown,31181.0,31181.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:44
3351,2026-03-14,-- Bonus Credit Income n,68460.0,income,others,Unknown,Unknown,68460.0,68460.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:38
3330,2026-02-14,-- Interest Credit Income n,5320.0,income,others,Unknown,Unknown,5320.0,5320.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:34
3314,2026-01-14,-- Freelance Project Income n,16559.0,income,others,Unknown,Unknown,16559.0,16559.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:32
3429,2026-06-13,-- Monthly Salary Income n,28530.0,income,salary,Unknown,Unknown,28530.0,28530.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:52
3439,2026-06-13,-- Medical Expenses Expense n,8307.0,expense,others,Unknown,Unknown,8307.0,8307.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:54
3403,2026-05-13,-- Bonus Credit Income n,35622.0,income,others,Unknown,Unknown,35622.0,35622.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:47
3365,2026-03-13,-- Medical Expenses Expense n,3590.0,expense,others,Unknown,Unknown,3590.0,3590.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:40
3350,2026-03-13,-- Car EMI Expense n,6417.0,expense,others,Unknown,Unknown,6417.0,6417.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:37
3337,2026-02-13,-- Grocery Shopping Expense n,12533.0,expense,others,Unknown,Unknown,12533.0,12533.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:35
3329,2026-02-13,-- Freelance Project Income n,56766.0,income,others,Unknown,Unknown,56766.0,56766.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:34
3313,2026-01-13,-- Electricity Bill Expense n,20357.0,expense,utilities,Unknown,Unknown,20357.0,20357.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:32
3428,2026-06-12,-- Monthly Salary Income n,56962.0,income,salary,Unknown,Unknown,56962.0,56962.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:52
3438,2026-06-12,-- Monthly Salary Income n,10655.0,income,salary,Unknown,Unknown,10655.0,10655.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:53
3413,2026-05-12,-- Netflix Subscription Expense n,6514.0,expense,others,Unknown,Unknown,6514.0,6514.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:49
3402,2026-05-12,-- Bonus Credit Income n,6283.0,income,others,Unknown,Unknown,6283.0,6283.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:47
3349,2026-03-12,-- Interest Credit Income n,20853.0,income,others,Unknown,Unknown,20853.0,20853.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:37
3336,2026-02-12,-- Medical Expenses Expense n,14318.0,expense,others,Unknown,Unknown,14318.0,14318.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:35
3328,2026-02-12,-- Freelance Project Income n,38138.0,income,others,Unknown,Unknown,38138.0,38138.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:34
3183,2026-01-12,Freelance Income,18000.0,income,others,Unknown,Unknown,18000.0,18000.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 06:25:49
3177,2026-01-12,// Internet broadband bill payment .,1200.0,income,utilities,Unknown,Unknown,1200.0,1200.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-07 08:41:36
3312,2026-01-12,-- Fuel Expense n,10902.0,expense,others,Unknown,Unknown,10902.0,10902.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:32
3137,2026-01-12,-- Electricity Bill Expense,3500.0,expense,utilities,Unknown,Unknown,3500.0,3500.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-07 06:34:57
3301,2026-01-12,-- Electricity Bill  expense,4000.0,expense,utilities,Unknown,Unknown,4000.0,4000.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:04:50
3673,2026-07-11,-- House Rent Expense n,3091.0,expense,rent,Unknown,Unknown,3091.0,3091.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-11 07:25:30
3427,2026-06-11,-- Medical Expenses Expense n,22953.0,expense,others,Unknown,Unknown,22953.0,22953.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:52
3379,2026-04-11,-- Car EMI Expense n,14491.0,expense,others,Unknown,Unknown,14491.0,14491.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:42
3387,2026-04-11,-- Bonus Credit Income n,9111.0,income,others,Unknown,Unknown,9111.0,9111.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:44
3364,2026-03-11,-- Internet Bill Expense n,1059.0,expense,utilities,Unknown,Unknown,1059.0,1059.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:40
3327,2026-02-11,-- Netflix Subscription Expense n,14679.0,expense,others,Unknown,Unknown,14679.0,14679.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:34
3437,2026-06-10,-- Netflix Subscription Expense n,4446.0,expense,others,Unknown,Unknown,4446.0,4446.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:53
3401,2026-05-10,-- Netflix Subscription Expense n,4623.0,expense,others,Unknown,Unknown,4623.0,4623.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:47
3412,2026-05-10,-- Electricity Bill Expense n,11774.0,expense,utilities,Unknown,Unknown,11774.0,11774.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:49
3386,2026-04-10,-- Netflix Subscription Expense n,8559.0,expense,others,Unknown,Unknown,8559.0,8559.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:44
3348,2026-03-10,-- Medical Expenses Expense n,18007.0,expense,others,Unknown,Unknown,18007.0,18007.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:36
3498,2026-01-10,Grocery Store Purchase,3500.0,expense,shopping,Unknown,Unknown,3500.0,3500.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-11 06:55:14
3182,2026-01-10,ATM Withdrawal,5000.0,expense,atm,Cash Withdrawal,Unknown,5000.0,5000.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 06:25:48
3311,2026-01-10,-- Monthly Salary Income n,64793.0,income,salary,Unknown,Unknown,64793.0,64793.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:32
3136,2026-01-10,-- Bonus Credit Income,20000.0,income,others,Unknown,Unknown,20000.0,20000.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-07 06:34:57
3453,2026-07-09,-- Monthly Salary Income n,64890.0,income,salary,Unknown,Unknown,64890.0,64890.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:56
3436,2026-06-09,-- Freelance Project Income n,17902.0,income,others,Unknown,Unknown,17902.0,17902.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:53
3411,2026-05-09,-- Mobile Recharge Expense n,15847.0,expense,others,Unknown,Unknown,15847.0,15847.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:48
3478,2026-03-09,ate  January,2026.0,income,others,Unknown,Unknown,2026.0,2026.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-09 09:29:45
3347,2026-03-09,-- Mobile Recharge Expense n,24204.0,expense,others,Unknown,Unknown,24204.0,24204.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:36
3363,2026-03-09,-- Dining at Restaurant Expense n,2233.0,expense,food,Unknown,Unknown,2233.0,2233.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:40
3335,2026-02-09,-- Fuel Expense n,14209.0,expense,others,Unknown,Unknown,14209.0,14209.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:35
3310,2026-01-09,-- Monthly Salary Income n,17302.0,income,salary,Unknown,Unknown,17302.0,17302.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:32
3300,2026-01-09,-- Groceries  expense,6000.0,expense,others,Unknown,Unknown,6000.0,6000.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:04:50
3484,2019-11-08,asiecol,2.0,expense,others,Unknown,Unknown,2.0,2.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-10 09:20:58
3426,2026-06-08,-- Monthly Salary Income n,38162.0,income,salary,Unknown,Unknown,38162.0,38162.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:52
3435,2026-06-08,-- Interest Credit Income n,14406.0,income,others,Unknown,Unknown,14406.0,14406.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:53
3400,2026-05-08,-- House Rent Expense n,7533.0,expense,rent,Unknown,Unknown,7533.0,7533.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:47
3385,2026-04-08,-- Bonus Credit Income n,49675.0,income,others,Unknown,Unknown,49675.0,49675.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:43
3378,2026-04-08,-- Bonus Credit Income n,40622.0,income,others,Unknown,Unknown,40622.0,40622.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:42
3306,2026-03-08,Financial Statement - January,2026.0,expense,others,Unknown,Unknown,2026.0,2026.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:31
3270,2026-03-08,Date  January,2026.0,income,others,Unknown,Unknown,2026.0,2026.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 13:20:53
3362,2026-03-08,-- Monthly Salary Income n,50439.0,income,salary,Unknown,Unknown,50439.0,50439.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:40
3326,2026-02-08,-- Insurance Premium Expense n,4767.0,expense,others,Unknown,Unknown,4767.0,4767.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:34
3181,2026-01-08,Interest Credit,4200.0,income,others,Unknown,Unknown,4200.0,4200.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 06:25:48
3425,2026-06-07,-- Car EMI Expense n,491.0,expense,others,Unknown,Unknown,491.0,491.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:51
3410,2026-05-07,-- Internet Bill Expense n,4440.0,expense,utilities,Unknown,Unknown,4440.0,4440.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:48
3377,2026-04-07,-- Medical Expenses Expense n,24898.0,expense,others,Unknown,Unknown,24898.0,24898.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:42
3172,2026-03-07,Date  January,2026.0,income,others,Unknown,Unknown,2026.0,2026.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-07 08:36:42
3174,2026-03-07,BANK ACCOUNT ACTIVITY SUMMARY JANUARY,2026.0,income,others,Unknown,Unknown,2026.0,2026.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-07 08:41:36
3346,2026-03-07,-- Internet Bill Expense n,22063.0,expense,utilities,Unknown,Unknown,22063.0,22063.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:36
3325,2026-02-07,-- Bonus Credit Income n,6838.0,income,others,Unknown,Unknown,6838.0,6838.0,0.0,No Extra Charges,0,0,0.0,0.5,4,2026-03-08 14:05:33
