transaction_id,date,customer_id,description,merchant_name,amount,payment_method,type,customer_segment,location
T000036,2024-04-08,76803,interest credited,Paytm,7794.98,UPI,income,Retired,Delhi
T000037,2024-06-09,41551,freelance income,Swiggy,24340.42,Net Banking,income,Retired,Chennai
T000038,2022-01-07,21394,salary credited,Swiggy,10183.74,UPI,income,Business,Delhi
T000039,2024-02-17,79092,subscription charge,Google Pay,35354.34,Net Banking,expense,Business,Delhi
T000040,2024-04-05,13890,interest credited,HDFC,36301.52,Net Banking,income,Retired,Delhi
T000041,2022-06-13,51606,salary credited,Swiggy,41223.16,Net Banking,income,Business,Bangalore
T000042,2023-12-16,90038,interest credited,Reliance,24569.76,Debit Card,income,Business,Hyderabad
T000043,2023-03-09,97313,transaction completed,Swiggy,12307.4,UPI,expense,Business,Mumbai
T000044,2022-12-15,20627,salary credited,Electricity Board,17356.75,Credit Card,income,Business,Hyderabad
T000045,2022-10-12,18792,bonus received,Tax Office,31771.23,UPI,income,Business,Bangalore
T000046,2022-06-09,83969,grocery purchase,ICICI,6301.83,UPI,expense,Retired,Bangalore
T000047,2022-08-09,53001,grocery purchase,Paytm,28792.07,UPI,expense,Business,Delhi
T000048,2024-02-21,86552,bonus received,Zomato,9727.91,Debit Card,income,Business,Delhi
T000049,2022-12-11,33897,salary credited,ICICI,49925.69,UPI,income,Salaried,Hyderabad
T000050,2022-04-15,78148,cashback received,ICICI,1777.28,Net Banking,income,Retired,Bangalore
T000051,2022-04-05,33483,insurance premium,Salary Dept,34709.8,Cash,expense,Student,Chennai
T000052,2023-01-25,58555,grocery purchase,Local Store,21733.73,Cash,expense,Retired,Chennai
T000053,2022-04-10,27159,freelance income,Swiggy,14741.18,Net Banking,income,Salaried,Mumbai
T000054,2023-01-03,90077,electricity bill,Swiggy,18892.47,UPI,expense,Business,Hyderabad
T000055,2024-05-17,45920,interest credited,Tax Office,15896.31,Net Banking,income,Business,Bangalore
T000056,2022-12-19,77121,fund transfer,ICICI,33341.02,Cash,income,Salaried,Delhi
T000057,2023-09-11,79479,transfer processed,PhonePe,9206.3,Net Banking,expense,Business,Chennai
T000058,2022-09-28,99475,cashback received,Reliance,32854.13,UPI,income,Salaried,Hyderabad
T000059,2024-04-06,29457,interest credited,Paytm,18237.15,UPI,income,Student,Bangalore
T000060,2022-02-14,76557,freelance income,Swiggy,46258.97,Debit Card,income,Student,Chennai
T000061,2024-01-18,87189,bank entry,Flipkart,24774.33,Debit Card,expense,Salaried,Bangalore
T000062,2023-04-16,88953,salary credited,Amazon,9015.93,Debit Card,income,Student,Hyderabad
T000063,2023-07-04,62995,insurance premium,Paytm,47674.63,Debit Card,expense,Student,Mumbai
T000064,2022-05-08,50757,payment received,Tax Office,37255.64,Net Banking,expense,Business,Bangalore
T000065,2023-01-23,19692,transaction completed,Flipkart,49573.83,Cash,income,Retired,Chennai
T000066,2022-03-22,55758,interest credited,Local Store,15438.83,Debit Card,income,Retired,Mumbai
T000067,2023-07-20,82409,transfer processed,Electricity Board,8507.98,Net Banking,income,Student,Chennai
T000068,2022-10-28,81211,rent paid,HDFC,19953.59,UPI,expense,Student,Mumbai
T000069,2024-04-29,75697,rent paid,SBI,36621.1,Debit Card,expense,Business,Bangalore
T000070,2023-10-06,47065,commission credited,Uber,39487.45,Net Banking,income,Business,Mumbai
T000071,2023-09-26,42606,bank entry,Zomato,23695.21,Credit Card,expense,Student,Chennai
T000072,2024-06-01,21534,commission credited,Flipkart,48669.62,Credit Card,income,Retired,Bangalore
T000073,2023-01-06,50397,subscription charge,Tax Office,40605.97,Net Banking,expense,Student,Mumbai
T000074,2023-08-15,11016,fuel payment,Salary Dept,23333.74,Net Banking,income,Business,Hyderabad
T000075,2022-07-16,99789,payment received,ICICI,42073.86,Credit Card,expense,Student,Chennai
T000076,2023-12-23,65591,freelance income,Electricity Board,11643.54,Debit Card,income,Salaried,Bangalore
T000077,2022-03-13,99812,insurance premium,Uber,21733.23,Debit Card,expense,Retired,Mumbai
T000078,2022-02-16,33247,account adjustment,Google Pay,18679.55,Net Banking,income,Student,Mumbai
T000079,2023-11-09,34300,electricity bill,HDFC,9850.89,UPI,expense,Student,Delhi
T000080,2022-08-22,84065,cashback received,Electricity Board,11686.63,Net Banking,income,Retired,Bangalore
T000081,2024-03-02,92798,interest credited,Reliance,8715.57,Debit Card,income,Student,Hyderabad
T000082,2022-10-24,19268,account adjustment,Zomato,27338.05,Net Banking,expense,Business,Delhi
T000083,2022-03-23,96807,salary credited,Airtel,9482.25,UPI,income,Student,Mumbai
T000084,2024-05-25,22185,transaction completed,Tax Office,21967.74,UPI,expense,Business,Hyderabad
T000085,2022-08-27,73704,freelance income,Zomato,11666.97,Debit Card,income,Business,Delhi
T000086,2024-06-06,96779,fuel payment,ICICI,22832.33,UPI,expense,Student,Bangalore
T000087,2022-04-14,49099,interest credited,PhonePe,33673.94,Cash,income,Student,Delhi
T000088,2023-01-25,18571,rent paid,Flipkart,21765.2,Cash,expense,Salaried,Chennai
T000089,2022-10-12,48044,grocery purchase,Airtel,8760.22,Cash,expense,Student,Delhi
T000090,2023-04-10,61214,cashback received,SBI,40311.74,Net Banking,income,Business,Delhi
T000091,2023-10-13,71228,salary credited,Flipkart,13477.39,Cash,income,Business,Delhi
T000092,2024-05-04,58984,cashback received,Amazon,8059.25,UPI,income,Business,Mumbai
T000093,2023-01-09,50774,cashback received,Salary Dept,27142.63,Net Banking,income,Retired,Hyderabad
T000094,2022-06-16,12568,refund processed,Local Store,42335.32,Debit Card,income,Student,Mumbai
T000095,2023-01-15,72592,subscription charge,Tax Office,34091.12,Cash,expense,Student,Delhi
T000096,2022-12-30,77563,rent paid,Local Store,26345.52,Cash,expense,Student,Bangalore
T000097,2022-08-03,12695,online payment,Local Store,1253.71,Cash,expense,Retired,Chennai
T000098,2023-11-18,58190,fuel payment,Electricity Board,3392.78,Debit Card,expense,Salaried,Chennai
T000099,2022-10-01,15258,cashback received,Google Pay,4563.19,Debit Card,income,Student,Delhi
T000100,2023-12-20,97538,insurance premium,Electricity Board,26800.91,Net Banking,expense,Student,Hyderabad
T000101,2023-12-01,49504,bank entry,ICICI,20248.47,Debit Card,expense,Student,Chennai
T000102,2023-10-26,43159,freelance income,Local Store,14592.14,Cash,income,Business,Bangalore
T000103,2022-03-15,23986,subscription charge,SBI,9899.05,Credit Card,expense,Student,Mumbai
T000104,2023-09-16,71858,commission credited,Paytm,40974.14,Net Banking,income,Business,Bangalore
T000105,2023-10-13,22666,fuel payment,Salary Dept,31319.63,UPI,expense,Student,Hyderabad
T000106,2022-06-25,48660,freelance income,HDFC,26848.37,Debit Card,income,Student,Mumbai
T000107,2023-07-01,13561,commission credited,ICICI,47376.89,UPI,income,Salaried,Chennai
T000108,2024-01-17,36854,grocery purchase,Swiggy,21182.54,Debit Card,expense,Student,Chennai
T000109,2022-09-08,74505,insurance premium,HDFC,42878.99,Credit Card,expense,Business,Chennai
T000110,2022-06-17,62251,payment received,Electricity Board,2104.9,Debit Card,expense,Salaried,Mumbai
T000111,2023-04-19,32662,cashback received,Paytm,48166.02,Cash,income,Business,Delhi
T000112,2023-01-24,18392,fuel payment,Reliance,41318.39,Cash,expense,Business,Mumbai
T000113,2022-10-04,40535,grocery purchase,Swiggy,25864.07,Net Banking,expense,Salaried,Hyderabad
T000114,2023-10-18,88603,electricity bill,Salary Dept,22352.66,UPI,expense,Business,Chennai
T000115,2023-12-06,62256,cashback received,Flipkart,46973.68,Net Banking,income,Student,Bangalore
T000116,2023-07-25,99135,payment received,Swiggy,28957.02,Debit Card,income,Retired,Mumbai
T000117,2022-08-13,45222,interest credited,Freelance Client,44680.19,UPI,income,Retired,Bangalore
T000118,2023-12-03,87373,payment received,Uber,10934.78,Credit Card,income,Business,Delhi
T000119,2022-11-29,89575,fuel payment,SBI,1873.28,UPI,expense,Student,Mumbai
T000120,2024-05-13,94651,transaction completed,HDFC,43144.91,Debit Card,expense,Business,Mumbai
T000121,2024-02-26,73335,refund processed,Airtel,41164.72,Net Banking,expense,Student,Mumbai
T000122,2024-03-05,20965,electricity bill,Electricity Board,24754.16,Credit Card,expense,Student,Delhi
T000123,2022-02-27,34538,rent paid,PhonePe,24712.05,Net Banking,expense,Retired,Chennai
T000124,2022-08-23,80592,grocery purchase,Tax Office,8632.3,Net Banking,expense,Business,Bangalore
T000125,2024-04-21,18110,online payment,Electricity Board,23141.56,Cash,expense,Business,Mumbai
T000126,2022-02-02,89309,electricity bill,Freelance Client,40073.86,Debit Card,expense,Salaried,Bangalore
T000127,2024-04-04,37266,salary credited,Swiggy,21704.77,Cash,income,Retired,Hyderabad
T000128,2022-11-20,62992,salary credited,Swiggy,20531.12,UPI,income,Salaried,Delhi
T000129,2023-02-15,92948,freelance income,Salary Dept,45648.82,Cash,income,Salaried,Hyderabad
T000130,2022-10-02,16910,insurance premium,HDFC,1026.13,Cash,expense,Salaried,Hyderabad
T000131,2022-03-09,10206,transfer processed,Swiggy,6626.36,Cash,expense,Salaried,Hyderabad
T000132,2022-08-05,97054,fuel payment,Zomato,17267.46,Credit Card,income,Salaried,Chennai
T000133,2023-08-04,97897,freelance income,Local Store,35428.38,Net Banking,income,Retired,Delhi
T000134,2024-06-16,33419,commission credited,Freelance Client,26287.83,Credit Card,income,Business,Bangalore
T000135,2024-01-06,60636,fuel payment,Electricity Board,7191.73,Net Banking,expense,Retired,Hyderabad
T000136,2022-11-19,60015,electricity bill,ICICI,33382.99,Cash,expense,Business,Delhi
T000137,2022-08-06,64268,salary credited,Freelance Client,1334.36,Credit Card,income,Business,Mumbai
T000138,2023-11-03,97939,electricity bill,Electricity Board,29690.48,UPI,expense,Salaried,Bangalore
T000139,2023-05-27,28141,interest credited,Freelance Client,5814.99,UPI,income,Salaried,Chennai
T000140,2023-02-10,90356,bank entry,Reliance,28487.67,Debit Card,expense,Salaried,Delhi
T000141,2023-10-21,81910,interest credited,SBI,1511.24,Credit Card,income,Business,Bangalore
T000142,2023-04-15,66044,transaction completed,Tax Office,39356.35,Net Banking,expense,Business,Mumbai
T000143,2022-05-27,77214,insurance premium,PhonePe,25080.42,Cash,expense,Business,Bangalore
T000144,2022-09-29,43827,freelance income,Flipkart,28955.49,Credit Card,income,Student,Bangalore
T000145,2022-05-23,65820,insurance premium,Freelance Client,20987.03,Net Banking,expense,Business,Chennai
T000146,2022-09-10,72623,fuel payment,Paytm,35749.75,Cash,expense,Retired,Bangalore
T000147,2024-02-02,91734,grocery purchase,Reliance,38959.86,Debit Card,expense,Student,Bangalore
T000148,2023-07-29,85450,payment received,HDFC,14256.36,UPI,expense,Retired,Delhi
T000149,2023-07-06,32299,transfer processed,Uber,25733.24,Credit Card,expense,Student,Delhi
T000150,2022-09-27,53585,rent paid,Google Pay,47835.52,Net Banking,expense,Student,Hyderabad
T000151,2024-02-04,74044,rent paid,ICICI,33338.77,Cash,expense,Business,Hyderabad
T000152,2023-08-22,52557,insurance premium,Electricity Board,1754.95,Credit Card,expense,Retired,Bangalore
T000153,2023-03-15,59080,transfer processed,Google Pay,1890.53,Cash,income,Salaried,Delhi
T000154,2023-08-21,12693,fuel payment,Google Pay,45546.66,UPI,expense,Salaried,Delhi
T000155,2023-02-13,79163,payment received,Zomato,2274.95,UPI,expense,Salaried,Chennai
T000156,2023-01-06,35939,salary credited,Electricity Board,37888.74,Debit Card,income,Business,Hyderabad
T000157,2022-08-13,58925,subscription charge,Airtel,38789.79,Debit Card,expense,Business,Chennai
T000158,2022-05-22,52941,fuel payment,Zomato,10914.23,UPI,expense,Retired,Hyderabad
T000159,2023-06-06,31834,grocery purchase,Swiggy,2307.07,UPI,expense,Student,Hyderabad
T000160,2023-05-21,28047,interest credited,Reliance,41343.04,Credit Card,income,Business,Mumbai
T000161,2022-04-04,36105,fuel payment,Airtel,49355.85,Cash,expense,Salaried,Hyderabad
T000162,2024-02-13,85766,grocery purchase,Airtel,5998.99,UPI,expense,Student,Delhi
T000163,2022-02-18,25707,cashback received,Reliance,44263.33,Cash,income,Student,Mumbai
T000164,2024-05-31,31976,electricity bill,PhonePe,23122.2,UPI,expense,Salaried,Delhi
T000165,2022-04-23,54262,salary credited,Flipkart,44887.63,Credit Card,income,Student,Mumbai
T000166,2022-06-06,33776,insurance premium,HDFC,30271.94,Debit Card,expense,Salaried,Delhi
T000167,2023-10-05,40080,fuel payment,ICICI,12967.68,Cash,expense,Salaried,Hyderabad
T000168,2022-06-13,76842,subscription charge,Paytm,17226.16,UPI,expense,Student,Delhi
T000169,2024-03-22,71373,electricity bill,Electricity Board,45385.39,Debit Card,expense,Business,Delhi
T000170,2023-11-28,16776,commission credited,Amazon,11854.72,Cash,income,Business,Chennai
T000171,2023-03-09,65016,electricity bill,Reliance,260.4,Cash,expense,Business,Hyderabad
T000172,2023-09-03,19474,interest credited,PhonePe,36923.63,Cash,income,Business,Chennai
T000173,2022-03-07,68053,fund transfer,Tax Office,24375.56,Cash,income,Retired,Hyderabad
T000174,2023-01-30,31959,transfer processed,Amazon,6452.63,Debit Card,income,Student,Bangalore
T000175,2023-01-26,15530,freelance income,Zomato,4981.37,Net Banking,income,Business,Bangalore
T000176,2023-09-03,13748,electricity bill,ICICI,16767.96,Net Banking,expense,Retired,Mumbai
T000177,2023-04-25,23545,transaction completed,Freelance Client,17993.49,UPI,income,Student,Hyderabad
T000178,2023-06-26,76199,refund processed,ICICI,25635.9,Net Banking,expense,Salaried,Chennai
T000179,2022-09-15,44766,electricity bill,SBI,19158.6,Net Banking,expense,Student,Delhi
T000180,2023-07-21,83530,insurance premium,Uber,1030.35,UPI,expense,Salaried,Chennai
T000181,2024-05-31,71087,cashback received,Zomato,8007.57,Net Banking,income,Student,Mumbai
T000182,2022-01-12,78840,salary credited,SBI,25900.32,Debit Card,income,Business,Mumbai
T000183,2023-11-28,64384,cashback received,ICICI,19661.96,Net Banking,income,Salaried,Chennai
T000184,2024-01-09,61005,salary credited,SBI,29305.07,Cash,income,Salaried,Chennai
T000185,2022-04-28,56576,fuel payment,Freelance Client,34025.68,Net Banking,expense,Retired,Delhi
T000186,2023-11-30,49353,insurance premium,Amazon,9230.38,Credit Card,expense,Student,Chennai
T000187,2023-07-04,72003,fuel payment,Uber,49407.7,Net Banking,expense,Student,Mumbai
T000188,2024-02-08,93211,subscription charge,SBI,37476.5,Cash,expense,Retired,Hyderabad
T000189,2022-10-01,62733,insurance premium,Zomato,28964.51,UPI,expense,Salaried,Bangalore
T000190,2024-02-27,75318,salary credited,Airtel,22414.4,Net Banking,income,Business,Delhi
T000191,2023-10-19,99474,freelance income,Amazon,32495.35,Net Banking,income,Salaried,Mumbai
T000192,2022-12-15,33664,subscription charge,PhonePe,22164.32,Net Banking,expense,Salaried,Chennai
T000193,2022-04-25,77172,rent paid,Airtel,46320.83,Net Banking,expense,Student,Delhi
T000194,2022-10-28,95616,subscription charge,PhonePe,40558.77,UPI,expense,Salaried,Hyderabad
T000195,2023-03-22,36736,transaction completed,PhonePe,23518.03,Cash,expense,Salaried,Bangalore
T000196,2022-06-11,10854,salary credited,Uber,8237.88,Cash,income,Student,Mumbai
T000197,2023-04-10,48623,transaction completed,Amazon,49199.77,Cash,income,Salaried,Hyderabad
T000198,2022-01-04,17392,electricity bill,Tax Office,4239.86,UPI,expense,Salaried,Chennai
T000199,2024-01-10,65680,interest credited,Local Store,28363.19,Credit Card,income,Business,Delhi
T000200,2024-06-15,56717,cashback received,HDFC,31266.0,Credit Card,income,Business,Chennai
T000201,2024-01-07,97092,cashback received,Tax Office,39356.78,Debit Card,income,Business,Mumbai
T000202,2022-09-27,60859,fuel payment,HDFC,42091.32,Debit Card,expense,Business,Delhi
T000203,2023-05-28,36309,online payment,Google Pay,12498.62,Debit Card,income,Retired,Mumbai
T000204,2024-02-20,97455,grocery purchase,PhonePe,275.96,Credit Card,expense,Retired,Hyderabad
T000205,2022-07-02,73734,fuel payment,Flipkart,23902.14,Cash,expense,Student,Chennai
T000206,2023-06-04,80467,rent paid,Local Store,20757.94,Credit Card,expense,Salaried,Chennai
T000207,2022-04-19,62662,subscription charge,Flipkart,24891.43,Debit Card,expense,Retired,Bangalore
T000208,2024-06-10,22688,bonus received,Freelance Client,25874.07,UPI,income,Salaried,Hyderabad
T000209,2023-10-03,35342,subscription charge,Swiggy,46754.11,Credit Card,expense,Retired,Chennai
T000210,2022-11-02,47157,cashback received,Zomato,27355.13,UPI,income,Business,Mumbai
T000211,2024-05-11,77863,freelance income,HDFC,20923.83,Credit Card,income,Retired,Bangalore
T000212,2023-10-17,62083,cashback received,Amazon,27894.57,Credit Card,income,Business,Hyderabad
T000213,2023-06-04,75733,account adjustment,Tax Office,13535.04,Cash,expense,Student,Mumbai
T000214,2023-09-16,99045,salary credited,Salary Dept,47434.77,Debit Card,income,Business,Hyderabad
T000215,2022-07-23,44698,bonus received,Zomato,48410.41,UPI,income,Retired,Hyderabad
T000216,2022-06-06,90623,bank entry,Airtel,39575.07,UPI,expense,Business,Delhi
T000217,2023-01-18,32671,salary credited,Salary Dept,46238.15,Net Banking,income,Salaried,Hyderabad
T000218,2024-02-20,35184,online payment,Tax Office,16231.92,Credit Card,income,Business,Mumbai
T000219,2022-06-15,52107,salary credited,Airtel,27570.49,Debit Card,income,Salaried,Mumbai
T000220,2023-07-07,96202,freelance income,Local Store,23430.03,UPI,income,Retired,Hyderabad
T000221,2024-03-08,61663,fund transfer,Electricity Board,3089.68,UPI,expense,Retired,Hyderabad
T000222,2023-06-28,25708,transaction completed,Local Store,36528.38,Debit Card,income,Student,Delhi
T000223,2022-01-01,59811,salary credited,Amazon,45620.53,UPI,income,Business,Delhi
T000224,2023-09-06,12811,payment received,ICICI,21719.03,Debit Card,expense,Salaried,Hyderabad
T000225,2022-11-28,66250,rent paid,PhonePe,46584.19,Debit Card,expense,Salaried,Mumbai
T000226,2023-05-16,82082,electricity bill,Flipkart,41114.78,Debit Card,expense,Student,Mumbai
T000227,2022-01-20,44754,cashback received,PhonePe,48159.85,Net Banking,income,Salaried,Delhi
T000228,2022-04-25,21411,freelance income,Local Store,49662.24,Net Banking,income,Business,Bangalore
T000229,2023-01-07,12911,electricity bill,Zomato,43920.16,Debit Card,expense,Retired,Chennai
T000230,2024-06-18,77270,transaction completed,PhonePe,12719.46,Cash,income,Retired,Delhi
T000231,2024-05-01,93763,bank entry,Zomato,42892.71,Net Banking,income,Business,Chennai
T000232,2024-04-06,18680,bonus received,Tax Office,11769.69,Debit Card,income,Business,Chennai
T000233,2022-11-11,94896,subscription charge,Freelance Client,49943.56,Cash,expense,Student,Delhi
T000234,2022-09-03,93879,cashback received,SBI,20488.54,Net Banking,income,Retired,Hyderabad
T000235,2022-03-01,81295,bonus received,Flipkart,2845.74,UPI,income,Student,Chennai
T000236,2022-09-04,98614,commission credited,Airtel,34928.99,UPI,income,Business,Bangalore
T000237,2024-06-18,21111,freelance income,Zomato,48664.44,Debit Card,income,Business,Mumbai
T000238,2023-08-04,47504,bank entry,Flipkart,34344.77,Net Banking,income,Business,Hyderabad
T000239,2022-03-22,11802,fund transfer,SBI,15072.15,Cash,income,Business,Chennai
T000240,2022-03-29,18155,cashback received,Local Store,26101.52,Credit Card,income,Student,Hyderabad
T000241,2024-01-20,83656,insurance premium,Freelance Client,9019.73,Cash,expense,Business,Hyderabad
T000242,2023-05-13,49384,bank entry,PhonePe,17815.19,Debit Card,income,Retired,Chennai
T000243,2024-04-15,57254,insurance premium,Electricity Board,46228.95,Net Banking,expense,Student,Hyderabad
T000244,2022-03-12,31918,insurance premium,Flipkart,4960.71,Net Banking,expense,Student,Mumbai
T000245,2024-02-18,95981,electricity bill,HDFC,16576.89,Debit Card,expense,Salaried,Bangalore
T000246,2023-06-30,70713,cashback received,Electricity Board,33249.31,Debit Card,income,Student,Delhi
T000247,2024-02-24,40306,freelance income,Freelance Client,40645.18,Debit Card,income,Retired,Bangalore
T000248,2022-05-09,26646,transfer processed,Tax Office,42777.4,Net Banking,income,Student,Hyderabad
T000249,2022-05-12,56843,rent paid,Swiggy,18490.43,Debit Card,expense,Business,Delhi
T000250,2023-11-07,26371,grocery purchase,Salary Dept,18724.79,Cash,expense,Retired,Chennai
T000251,2023-05-02,87371,freelance income,Zomato,8883.15,Net Banking,income,Retired,Bangalore
T000252,2023-07-17,12049,interest credited,Freelance Client,48793.87,Credit Card,income,Retired,Mumbai
T000253,2022-06-19,41616,insurance premium,Airtel,38438.85,Cash,expense,Retired,Mumbai
T000254,2022-09-29,30932,salary credited,HDFC,13350.71,Cash,income,Salaried,Delhi
T000255,2023-06-25,39855,rent paid,Paytm,31535.52,Net Banking,expense,Business,Delhi
T000256,2024-06-12,71434,salary credited,Paytm,33595.09,Net Banking,income,Business,Chennai
T000257,2023-09-14,82694,refund processed,Reliance,49781.04,Credit Card,expense,Student,Delhi
T000258,2023-03-10,53016,subscription charge,Uber,15678.4,Net Banking,income,Business,Bangalore
T000259,2022-08-05,17400,rent paid,HDFC,10864.86,Debit Card,expense,Student,Delhi
T000260,2023-07-07,52642,transfer processed,Local Store,22087.56,Cash,expense,Business,Hyderabad
T000261,2024-02-13,25151,transfer processed,Amazon,43694.18,Debit Card,income,Retired,Delhi
T000262,2024-01-18,61407,cashback received,Paytm,20997.19,UPI,income,Business,Chennai
T000263,2023-12-08,76690,cashback received,Amazon,22003.0,Credit Card,income,Student,Bangalore
T000264,2022-07-25,14499,rent paid,SBI,28117.62,Debit Card,expense,Salaried,Hyderabad
T000265,2024-01-01,16295,insurance premium,Salary Dept,45879.49,Cash,expense,Salaried,Mumbai
T000266,2022-11-16,69040,electricity bill,Salary Dept,39354.29,Credit Card,expense,Business,Chennai
T000267,2023-02-13,22183,cashback received,Swiggy,13624.56,UPI,income,Business,Hyderabad
T000268,2023-11-19,39299,freelance income,Flipkart,29269.01,Debit Card,income,Retired,Delhi
T000269,2023-10-28,22874,account adjustment,Airtel,25709.78,Credit Card,expense,Retired,Hyderabad
T000270,2023-01-18,42711,commission credited,Freelance Client,23780.91,UPI,income,Retired,Chennai
T000271,2023-03-25,15539,insurance premium,Amazon,11016.4,UPI,expense,Retired,Delhi
T000272,2023-06-14,63351,electricity bill,Google Pay,11483.11,Net Banking,expense,Student,Chennai
T000273,2023-04-08,71267,commission credited,Swiggy,28398.73,Debit Card,income,Salaried,Bangalore
T000274,2022-05-04,58354,rent paid,Google Pay,25031.73,Credit Card,expense,Salaried,Hyderabad
T000275,2022-09-11,12557,insurance premium,Paytm,41982.6,Credit Card,expense,Business,Hyderabad
T000276,2022-08-19,48360,rent paid,Swiggy,4669.09,Cash,expense,Student,Chennai
T000277,2022-03-07,92018,freelance income,ICICI,15017.07,Credit Card,income,Retired,Delhi
T000278,2022-12-13,12200,rent paid,Amazon,40743.4,UPI,expense,Student,Chennai
T000279,2022-01-22,78497,interest credited,Uber,33065.51,Credit Card,income,Retired,Hyderabad
T000280,2023-08-26,56975,payment received,Paytm,4128.11,UPI,expense,Student,Mumbai
T000281,2023-07-22,31357,online payment,Reliance,11821.89,Credit Card,income,Retired,Mumbai
T000282,2022-08-24,87505,grocery purchase,HDFC,48470.49,Net Banking,expense,Retired,Chennai
T000283,2023-08-26,12869,interest credited,PhonePe,1670.58,Cash,income,Business,Hyderabad
T000284,2022-08-14,71135,interest credited,SBI,34737.99,Debit Card,income,Business,Hyderabad
T000285,2022-01-08,60108,fuel payment,ICICI,45877.65,Credit Card,expense,Student,Chennai
T000286,2022-03-14,48467,grocery purchase,PhonePe,49904.51,Debit Card,expense,Business,Chennai
T000287,2023-12-26,33328,grocery purchase,Flipkart,15833.36,Debit Card,expense,Student,Mumbai
T000288,2023-10-09,96831,bonus received,Local Store,21435.5,UPI,expense,Salaried,Mumbai
T000289,2022-03-02,13987,bonus received,Reliance,43433.76,UPI,income,Student,Hyderabad
T000290,2022-08-23,68871,salary credited,Local Store,37089.5,Cash,income,Student,Chennai
T000291,2022-03-11,32399,transfer processed,PhonePe,27508.79,Credit Card,income,Salaried,Hyderabad
T000292,2022-02-02,56214,bonus received,Swiggy,32663.79,Net Banking,income,Retired,Chennai
T000293,2024-05-30,96416,rent paid,Flipkart,42935.14,Credit Card,expense,Student,Chennai
T000294,2022-12-05,80271,interest credited,Tax Office,38244.98,Credit Card,income,Retired,Chennai
T000295,2022-03-14,54064,interest credited,Tax Office,28096.78,Cash,income,Salaried,Chennai
